tite,soldprice,bids,link
Fire Emblem Three House Original Soundtrack First Limit Edition,206.5,0,https://www.ebay.com/itm/Fire-Emblem-Three-House-Original-Soundtrack-First-Limit-Edition/333898823654?epid=14043592301&hash=item4dbdebb7e6:g:MsEAAOSw0PNgNKAx
Fire Emblem Echoes: Shadows of Valentia Limited Edition - Nintendo 3DS *Sealed*,99.99,0,https://www.ebay.com/itm/Fire-Emblem-Echoes-Shadows-of-Valentia-Limited-Edition-Nintendo-3DS-Sealed/184628698343?epid=236294700&hash=item2afcba5ce7:g:QeYAAOSw8aZgB2yb
"New ListingFire Emblem: Awakening (3DS, 2013) Cartridge Only",30.0,0,https://www.ebay.com/itm/Fire-Emblem-Awakening-3DS-2013-Cartridge-Only/303897186967?epid=166708431&hash=item46c1af1297:g:XEAAAOSwrLNgNdPf
Fire Emblem Shadows Of Valentia Echoes Nintendo 3DS Game,34.95,0,https://www.ebay.com/itm/Fire-Emblem-Shadows-Of-Valentia-Echoes-Nintendo-3DS-Game/184624117359?hash=item2afc74766f:g:2nkAAOSwVF9gAzbs
Fire Emblem Fates Special Edition - 3DS - Complete  ,275.0,8 bids,https://www.ebay.com/itm/Fire-Emblem-Fates-Special-Edition-3DS-Complete/193898335326?hash=item2d253dcc5e:g:1GMAAOSwliBgLWbK
"New ListingFire Emblem: The Sacred Stones (Nintendo Game Boy Advance, 2005)",40.0,0,https://www.ebay.com/itm/Fire-Emblem-The-Sacred-Stones-Nintendo-Game-Boy-Advance-2005/114702513427?epid=45361015&hash=item1ab4cd7513:g:HtwAAOSwta1gNpuS
Pokemon X / Fire Emblem Nintendo 3DS Games,51.0,7 bids,https://www.ebay.com/itm/Pokemon-X-Fire-Emblem-Nintendo-3DS-Games/154337653766?hash=item23ef3db406:g:2nIAAOSwEHJgL~iL
"New ListingFire Emblem: Three Houses -- Standard Edition (Nintendo Switch, 2019)",30.0,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Standard-Edition-Nintendo-Switch-2019/174650985558?epid=7033092866&hash=item28aa028c56:g:7UEAAOSwEnBeUnMl
245 Lucina Figma Good Smile Authentic Figure Fire Emblem Awakening,60.0,0,https://www.ebay.com/itm/245-Lucina-Figma-Good-Smile-Authentic-Figure-Fire-Emblem-Awakening/313426727715?hash=item48f9b05323:g:zcQAAOSw~SZgMXIh
"New ListingFire Emblem: Three Houses -- Standard Edition (Nintendo Switch, 2019) NEW IN BOX",36.95,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Standard-Edition-Nintendo-Switch-2019-NEW-IN-BOX/174650804054?epid=7033092866&hash=item28a9ffc756:g:AtQAAOSwKptgNcyj
Fire Emblem: Three House Original Soundtrack First Press LTD Edition fast DHL,197.0,0,https://www.ebay.com/itm/Fire-Emblem-Three-House-Original-Soundtrack-First-Press-LTD-Edition-fast-DHL/313427327322?hash=item48f9b9795a:g:uX0AAOSwEJdfyj38
VG+ Fire Emblem Seisen no Keifu SFC Super Famicom SNES NTSC-J BOXED JAPAN Import,44.0,0,https://www.ebay.com/itm/VG-Fire-Emblem-Seisen-no-Keifu-SFC-Super-Famicom-SNES-NTSC-J-BOXED-JAPAN-Import/184662750096?hash=item2afec1f390:g:rUAAAOSwMXpfPn5i
Brand New! Fire Emblem 30th Anniversary Edition (Nintendo Switch) Factory Sealed,84.99,0,https://www.ebay.com/itm/Brand-New-Fire-Emblem-30th-Anniversary-Edition-Nintendo-Switch-Factory-Sealed/284192971983?hash=item422b389ccf:g:Cp4AAOSwAjlgMr6C
Fire Emblem™ 30th Anniversary Edition | Nintendo® Switch Brand New Factory Seal,52.0,0,https://www.ebay.com/itm/Fire-Emblem-30th-Anniversary-Edition-Nintendo-Switch-Brand-New-Factory-Seal/143957587777?hash=item21848a7741:g:QR8AAOSw0dVf1a4Q
"Fire Emblem Cipher [P19-009PR] Sothis || FE0, Three Houses",14.0,0,https://www.ebay.com/itm/Fire-Emblem-Cipher-P19-009PR-Sothis-FE0-Three-Houses/324422027630?hash=item4b890f496e:g:mKsAAOSwHr9eCxbb
Anna: B11-095R+ Fire Emblem 0 Cipher Mint FE Booster Series 11 Signned Card,18.0,0,https://www.ebay.com/itm/Anna-B11-095R-Fire-Emblem-0-Cipher-Mint-FE-Booster-Series-11-Signned-Card/333701350876?hash=item4db22685dc:g:IA4AAOSwMFVfisZ8
Fire Emblem Three Houses Original Soundtrack Limited Edition 6 CD+DVD ROM Japan,188.0,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Original-Soundtrack-Limited-Edition-6-CD-DVD-ROM-Japan/184614451775?epid=14043592301&hash=item2afbe0fa3f:g:XhgAAOSwWDBgK5XN
Fire Emblem 30th Anniversary Edition Nintendo Switch NEW Sealed IN HAND Ship now,79.99,0,https://www.ebay.com/itm/Fire-Emblem-30th-Anniversary-Edition-Nintendo-Switch-NEW-Sealed-IN-HAND-Ship-now/353324457182?epid=15042644992&hash=item5243c75cde:g:wDEAAOSwWkRf3SXm
Fire Emblem Three Houses Original Soundtrack Limited Edition 6 CD+DVD ROM new,175.77,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Original-Soundtrack-Limited-Edition-6-CD-DVD-ROM-new/393145671875?epid=14043592301&hash=item5b894ee0c3:g:8xoAAOSwLQtgMlvl
Pre-order NS version of Fire Emblem Fuka Yukitsuki Original Soundtrack Edition,139.0,0,https://www.ebay.com/itm/Pre-order-NS-version-of-Fire-Emblem-Fuka-Yukitsuki-Original-Soundtrack-Edition/233889368798?hash=item3674e48ade:g:r1kAAOSwqrlgIfF9
Nintendo DS- Fire Emblem Shadow Dragon Game. PG with Instruction Book #940,121.39,27 bids,https://www.ebay.com/itm/Nintendo-DS-Fire-Emblem-Shadow-Dragon-Game-PG-with-Instruction-Book-940/265057218541?hash=item3db6a42fed:g:~NwAAOSwLYRgLROG
Fire Emblem New Mystery of the Emblem ENGLISH Nintendo DS Custom Shin Monshou,29.99,0,https://www.ebay.com/itm/Fire-Emblem-New-Mystery-of-the-Emblem-ENGLISH-Nintendo-DS-Custom-Shin-Monshou/324447718207?epid=92890004&hash=item4b8a974b3f:g:t5oAAOSw~BFf-kAJ
Fire Emblem 6: The Binding Blade ENGLISH GBA Gameboy Advance Sword of Seals,19.99,0,https://www.ebay.com/itm/Fire-Emblem-6-The-Binding-Blade-ENGLISH-GBA-Gameboy-Advance-Sword-of-Seals/324450066226?hash=item4b8abb1f32:g:f00AAOSwOwZf~RtB
Fire Emblem 0 Cipher Awakening Trading Card Game TCG B08-026R FOIL Tharja Sallya,6.0,0,https://www.ebay.com/itm/Fire-Emblem-0-Cipher-Awakening-Trading-Card-Game-TCG-B08-026R-FOIL-Tharja-Sallya/313210845661?hash=item48ecd239dd:g:ZecAAOSwMcBfVva1
Tharja P01-010PR Fire Emblem 0 Cipher Mint FE Promotion 1 Awakening Heroes,12.0,0,https://www.ebay.com/itm/Tharja-P01-010PR-Fire-Emblem-0-Cipher-Mint-FE-Promotion-1-Awakening-Heroes/233712337033?hash=item366a574089:g:GmkAAOSw~tpfk4Fr
Fire Emblem Awakening - 3 DS - Nintendo 3DS - World Edition - Brand New - Sealed,49.45,0,https://www.ebay.com/itm/Fire-Emblem-Awakening-3-DS-Nintendo-3DS-World-Edition-Brand-New-Sealed/393073824827?hash=item5b8506943b:g:dToAAOSwsYNgMpnK
Fire Emblem Awakening Tharja 1/7 PVC figure Good Smile Company New Toy No Box,29.44,0,https://www.ebay.com/itm/Fire-Emblem-Awakening-Tharja-1-7-PVC-figure-Good-Smile-Company-New-Toy-No-Box/154235183757?hash=item23e922228d:g:K9cAAOSw-zxWnFxg
Fire Emblem Fates: Conquest Nintendo 3DS Video Game (GAME ONLY),27.98,0,https://www.ebay.com/itm/Fire-Emblem-Fates-Conquest-Nintendo-3DS-Video-Game-GAME-ONLY/254842116919?epid=218539569&hash=item3b55c61b37:g:Nz0AAOSw8UxgC2np
"Little Buddy 1722 Fire Emblem All Star 10"" Kamui / Corrin (Female) Plush",22.6,0,https://www.ebay.com/itm/Little-Buddy-1722-Fire-Emblem-All-Star-10-Kamui-Corrin-Female-Plush/143944686355?epid=27040294366&hash=item2183c59b13:g:TXQAAOSwPZhftLWQ
Fire Emblem Ankokuryu to hikari no tsurugi Gaiden NES Nintendo Famicom Box Japan,70.0,0,https://www.ebay.com/itm/Fire-Emblem-Ankokuryu-to-hikari-no-tsurugi-Gaiden-NES-Nintendo-Famicom-Box-Japan/224353997771?hash=item343c8a53cb:g:ZtkAAOSwappgK3no
Fire Emblem 0 Cipher 6 Card SLEEVES Three Houses Claude Dimitri Edelgard Byleth,4.99,0,https://www.ebay.com/itm/Fire-Emblem-0-Cipher-6-Card-SLEEVES-Three-Houses-Claude-Dimitri-Edelgard-Byleth/174620141368?hash=item28a82be738:g:f1gAAOSw79Vfzo~G
"New ListingFire Emblem: Awakening (3DS, 2013) Complete, Great condition",33.0,0,https://www.ebay.com/itm/Fire-Emblem-Awakening-3DS-2013-Complete-Great-condition/284195558868?epid=166708431&hash=item422b6015d4:g:~fMAAOSwuzFgNXsf
"New ListingSEAGRAVE Fire Apparatus 12"" Script Chrome Fire Truck Name Plate Emblem Badge",79.95,1 bid,https://www.ebay.com/itm/SEAGRAVE-Fire-Apparatus-12-Script-Chrome-Fire-Truck-Name-Plate-Emblem-Badge/294029928128?hash=item44758ca6c0:g:xD0AAOSwPEBgMpen
Fire Emblem Three Houses **Case Only**,3.99,0,https://www.ebay.com/itm/Fire-Emblem-Three-Houses-Case-Only/383963683788?hash=item596604dbcc:g:Y9YAAOSwuI9gLBZy
Ophelia B02-097R Fire Emblem 0 Cipher Mint FE Booster 2 If Fates Heroes,3.0,0,https://www.ebay.com/itm/Ophelia-B02-097R-Fire-Emblem-0-Cipher-Mint-FE-Booster-2-If-Fates-Heroes/333667869104?hash=item4db027a1b0:g:BFgAAOSw8-Rfm1j~
Azura B02-055N Fire Emblem 0 Cipher Mint Booster 2 FE If Fates Heroes,1.0,0,https://www.ebay.com/itm/Azura-B02-055N-Fire-Emblem-0-Cipher-Mint-Booster-2-FE-If-Fates-Heroes/333692570805?hash=item4db1a08cb5:g:UDMAAOSwFf1fnP7f
Ophelia B02-098N Fire Emblem 0 Cipher FE Booster 2 If Fates Heroes,1.0,0,https://www.ebay.com/itm/Ophelia-B02-098N-Fire-Emblem-0-Cipher-FE-Booster-2-If-Fates-Heroes/333693219681?hash=item4db1aa7361:g:WsgAAOSwPjxfnQ0q
Fire Emblem 0 Cipher Shadow Dragon Trading Card TCG B13-076N Linde (Rinde),3.4,0,https://www.ebay.com/itm/Fire-Emblem-0-Cipher-Shadow-Dragon-Trading-Card-TCG-B13-076N-Linde-Rinde/383638758197?hash=item5952a6e335:g:NPgAAOSwmMBe7ROH
Tharja: P18-006PR Fire Emblem 0 Cipher Mint FE Booster Series 18 Awakening,5.0,0,https://www.ebay.com/itm/Tharja-P18-006PR-Fire-Emblem-0-Cipher-Mint-FE-Booster-Series-18-Awakening/233689960784?hash=item366901d150:g:F2EAAOSwTyxfe5nn
